PAIR TYPE	SIMILARITY	SAME TYPE	REF TYPE	PRED TYPE	SOURCE SIMILARITY	REF SOURCES	PRED SOURCE	TARGET SIMILARITY	REF TARGETS	PRED TARGET
Partial Match	0.5	True	Located in	Located in	1.0	Citrus, citrus fruits, citrus, citrus plants	citrus plants	0.5	province of Entre Ríos, Entre Ríos, northeast of Entre Ríos	Entre Ríos
Partial Match	0.5	True	Affects	Affects	0.5	Huanglongbing	Huanglongbing (HLB)	1.0	Citrus, citrus fruits, citrus, citrus plants	citrus plants
False Negative	0.0		Located in			HLB			province of Entre Ríos, Entre Ríos, northeast of Entre Ríos	
False Negative	0.0		Affects			HLB			Citrus, citrus fruits, citrus, citrus plants	
False Negative	0.0		Located in			Huanglongbing			province of Entre Ríos, Entre Ríos, northeast of Entre Ríos	
False Negative	0.0		Causes			Candidatus liberibacter			HLB	
False Negative	0.0		Has been found on			Candidatus liberibacter			Citrus, citrus fruits, citrus, citrus plants	
False Positive	0.0			Causes			HLB			Huanglongbing (HLB)
False Positive	0.0			Causes			Candidatus liberibacter			Huanglongbing (HLB)
False Positive	0.0			Located in			trifoliate rootstock			Entre Ríos
False Positive	0.0			Located in			trifoliate seedbed (poncirus trifoliata)			Entre Ríos
False Positive	0.0			Located in			citrus plants			Osvaldo Magnasco
False Positive	0.0			Located in			citrus plants			Concordia
False Positive	0.0			Located in			citrus production			northeast of Entre Ríos
