PAIR TYPE	SIMILARITY	SAME TYPE	REF TYPE	PRED TYPE	SOURCE SIMILARITY	REF SOURCES	PRED SOURCE	TARGET SIMILARITY	REF TARGETS	PRED TARGET
Partial Match	0.5	True	Located in	Located in	0.5	citrus cultivation, citrus fruits, cultivation of citrus fruits, citrus, citrus plants	citrus fruits	1.0	Italy	Italy
Partial Match	0.5	True	Affects	Affects	1.0	Tristeza	Tristeza	0.5	citrus cultivation, citrus fruits, cultivation of citrus fruits, citrus, citrus plants	citrus fruits
Partial Match	0.25	True	Located in	Located in	0.5	citrus cultivation, citrus fruits, cultivation of citrus fruits, citrus, citrus plants	citrus fruits	0.5	Sicily, Sicily Region	Sicily
False Negative	0.0		Located in			citrus cultivation, citrus fruits, cultivation of citrus fruits, citrus, citrus plants			Etnean capital	
False Negative	0.0		Located in			Tristeza			Sicily, Sicily Region	
False Negative	0.0		Located in			Tristeza			Italy	
False Negative	0.0		Located in			HLB			Spain	
False Negative	0.0		Located in			HLB			USA, United States	
False Negative	0.0		Affects			HLB			citrus cultivation, citrus fruits, cultivation of citrus fruits, citrus, citrus plants	
False Negative	0.0		Located in			citrus cultivation, citrus fruits, cultivation of citrus fruits, citrus, citrus plants			Spain	
False Negative	0.0		Located in			citrus cultivation, citrus fruits, cultivation of citrus fruits, citrus, citrus plants			USA, United States	
False Negative	0.0		Located in			HLB			Mediterranean	
False Negative	0.0		Located in			HLB disease			USA, United States	
False Negative	0.0		Located in			citrus cultivation, citrus fruits, cultivation of citrus fruits, citrus, citrus plants			Acireale	
False Positive	0.0			Causes			Phytophthora			Huanglongbing (HLB)
False Positive	0.0			Affects			Huanglongbing (HLB)			citrus fruits
False Positive	0.0			Have been found on			Bitters			Tarocco Scirè
False Positive	0.0			Have been found on			C35			Tarocco Scirè
False Positive	0.0			Have been found on			Carpenter			Tarocco Scirè
False Positive	0.0			Have been found on			Furr			Tarocco Scirè
False Positive	0.0			Have been found on			Carrizo			Tarocco Scirè
False Positive	0.0			Have been found on			Citrus clementina			Mandared
False Positive	0.0			Have been found on			Citrus sinensis			Mandared
False Positive	0.0			Causes			Huanglongbing (HLB)			citrus fruits
False Positive	0.0			Causes			Tristeza			citrus fruits
