PAIR TYPE	SIMILARITY	SAME TYPE	REF TYPE	PRED TYPE	SOURCE SIMILARITY	REF SOURCES	PRED SOURCE	TARGET SIMILARITY	REF TARGETS	PRED TARGET
Partial Match	0.5	True	Located in	Located in	1.0	citrus fruits, citrus, Citrus, citrus plants	citrus plants	0.5	Entre Ríos, province of Entre Ríos, northeast of Entre Ríos	Entre Ríos
Partial Match	0.5	True	Affects	Affects	0.5	Huanglongbing	Huanglongbing (HLB)	1.0	citrus fruits, citrus, Citrus, citrus plants	citrus plants
False Negative	0.0		Located in			HLB			Entre Ríos, province of Entre Ríos, northeast of Entre Ríos	
False Negative	0.0		Affects			HLB			citrus fruits, citrus, Citrus, citrus plants	
False Negative	0.0		Located in			Huanglongbing			Entre Ríos, province of Entre Ríos, northeast of Entre Ríos	
False Negative	0.0		Causes			Candidatus liberibacter			HLB	
False Negative	0.0		Has been found on			Candidatus liberibacter			citrus fruits, citrus, Citrus, citrus plants	
False Positive	0.0			Causes			HLB pest			Huanglongbing (HLB)
False Positive	0.0			Causes			Candidatus liberibacter			Huanglongbing (HLB)
False Positive	0.0			Have been found on			poncirus trifoliata			citrus plants
