PAIR TYPE	SIMILARITY	SAME TYPE	REF TYPE	PRED TYPE	SOURCE SIMILARITY	REF SOURCES	PRED SOURCE	TARGET SIMILARITY	REF TARGETS	PRED TARGET
Partial Match	0.3333333333333333	True	Located in	Located in	0.3333333333333333	golden-yellow yellowing	yellowing diseases	1.0	Salurn	Salurn
Partial Match	0.3333333333333333	True	Located in	Located in	0.3333333333333333	golden-yellow yellowing	yellowing diseases	1.0	Unterland	Unterland
Match	1.0	True	Located in	Located in	1.0	golden-yellow yellowing	golden-yellow yellowing	1.0	Burggrafenamt, South Tyrol	Burggrafenamt
Partial Match	0.3333333333333333	True	Affects	Affects	0.3333333333333333	Golden yellowing	yellowing diseases	1.0	vineyards, Chardonnay, white wine varieties, red wine varieties, wine, vineyard, Pinot Grigio, vine, vines	vine
Partial Match	0.75	True	Transmits	Transmit	1.0	American leafhopper	American leafhopper	0.75	FDp, Flavescence dorèe phytoplasma	Flavescence dorèe phytoplasma (FDp)
Match	1.0	True	Has been found on	Have been found on	1.0	American leafhopper	American leafhopper	1.0	vineyards, Chardonnay, white wine varieties, red wine varieties, wine, vineyard, Pinot Grigio, vine, vines	vine
False Negative	0.0		Affects			golden-yellow yellowing			vineyards, Chardonnay, white wine varieties, red wine varieties, wine, vineyard, Pinot Grigio, vine, vines	
False Negative	0.0		Located in			vineyards, Chardonnay, white wine varieties, red wine varieties, wine, vineyard, Pinot Grigio, vine, vines			Unterland	
False Negative	0.0		Located in			vineyards, Chardonnay, white wine varieties, red wine varieties, wine, vineyard, Pinot Grigio, vine, vines			Burggrafenamt, South Tyrol	
False Negative	0.0		Located in			vineyards, Chardonnay, white wine varieties, red wine varieties, wine, vineyard, Pinot Grigio, vine, vines			Salurn	
False Negative	0.0		Causes			FDp, Flavescence dorèe phytoplasma			golden-yellow yellowing	
False Negative	0.0		Has been found on			FDp, Flavescence dorèe phytoplasma			vineyards, Chardonnay, white wine varieties, red wine varieties, wine, vineyard, Pinot Grigio, vine, vines	
False Negative	0.0		Located in			American leafhopper			Europe	
False Positive	0.0			Located in			yellowing diseases			lowlands
False Positive	0.0			Located in			Flavescence dorée			South Tyrol
False Positive	0.0			Affects			Flavescence dorée			vine
False Positive	0.0			Causes			Flavescence dorèe phytoplasma (FDp)			Flavescence dorée
