PAIR TYPE	SIMILARITY	SAME TYPE	REF TYPE	PRED TYPE	SOURCE SIMILARITY	REF SOURCES	PRED SOURCE	TARGET SIMILARITY	REF TARGETS	PRED TARGET
Match	1.0	True	Affects	Affects	1.0	Panama disease	Panama disease	1.0	bananas, banana plants, banana plant, banana	bananas
Partial Match	0.625	True	Causes	Causes	0.625	Fusarium oxysporum f. sp. cubense, Fusarium oxysporum f. sp. cubense Tropical Race 4, Tropical Race 4	Fusarium oxysporum f. sp. cubense	1.0	Panama disease	Panama disease
Partial Match	0.625	True	Has been found on	Have been found on	0.625	Fusarium oxysporum f. sp. cubense, Fusarium oxysporum f. sp. cubense Tropical Race 4, Tropical Race 4	Fusarium oxysporum f. sp. cubense	1.0	bananas, banana plants, banana plant, banana	bananas
Match	1.0	True	Causes	Causes	1.0	Fusarium oxysporum cubense Race 1	Fusarium oxysporum cubense Race 1	1.0	Panama disease	Panama disease
Match	1.0	True	Affects	Affects	1.0	Panama disease	Panama disease	1.0	Cavendish banana plantations, Cavendish variety bananas, Cavendish bananas	Cavendish variety bananas
Match	1.0	True	Has been found on	Have been found on	1.0	Fusarium oxysporum cubense Race 1	Fusarium oxysporum cubense Race 1	1.0	bananas, banana plants, banana plant, banana	bananas
Match	1.0	True	Has been found on	Have been found on	1.0	Fusarium oxysporum f. sp. cubense, Fusarium oxysporum f. sp. cubense Tropical Race 4, Tropical Race 4	Tropical Race 4	1.0	Cavendish banana plantations, Cavendish variety bananas, Cavendish bananas	Cavendish banana plantations
False Negative	0.0		Has been found on			Fusarium oxysporum cubense Race 1			Cavendish banana plantations, Cavendish variety bananas, Cavendish bananas	
False Negative	0.0		Causes			Fusarium oxysporum f. sp. cubense, Fusarium oxysporum f. sp. cubense Tropical Race 4, Tropical Race 4			banana Panama disease	
False Positive	0.0			Located in			bananas			Britain
False Positive	0.0			Located in			bananas			UK
False Positive	0.0			Located in			bananas			producer countries
