PAIR TYPE	SIMILARITY	SAME TYPE	REF TYPE	PRED TYPE	SOURCE SIMILARITY	REF SOURCES	PRED SOURCE	TARGET SIMILARITY	REF TARGETS	PRED TARGET
Match	1.0	True	Located in	Located in	1.0	citrus, Citrus	Citrus	1.0	European Union	European Union
Partial Match	0.75	True	Causes	Causes	1.0	Phyllosticta citricarpa	Phyllosticta citricarpa	0.75	Citrus Black Spot disease	Citrus Black Spot
False Negative	0.0		Located in			orange exports			South Africa	
False Negative	0.0		Located in			Phyllosticta citricarpa			South Africa	
False Negative	0.0		Located in			Citrus Black Spot disease			South Africa	
False Negative	0.0		Located in			Cotonet			South Africa	
False Positive	0.0			Affects			Citrus Black Spot			Citrus
False Positive	0.0			Have been found on			Phyllosticta citricarpa			Citrus
False Positive	0.0			Located in			Brazil			Mercosur
False Positive	0.0			Located in			Argentina			Mercosur
False Positive	0.0			Located in			Uruguay			Mercosur
False Positive	0.0			Located in			Colombia			Mercosur
False Positive	0.0			Located in			South Africa			Mercosur
