PAIR TYPE	SIMILARITY	SAME TYPE	REF TYPE	PRED TYPE	SOURCE SIMILARITY	REF SOURCES	PRED SOURCE	TARGET SIMILARITY	REF TARGETS	PRED TARGET
Match	1.0	True	Located in	Located in	1.0	citrus fruits, citrus plants	citrus plants	1.0	Veracruz	Veracruz
Match	1.0	True	Located in	Located in	1.0	Persian lemon	Persian lemon	1.0	Veracruz	Veracruz
Match	1.0	True	Located in	Located in	1.0	orange	orange	1.0	Veracruz	Veracruz
Match	1.0	True	Located in	Located in	1.0	tangerine	tangerine	1.0	Veracruz	Veracruz
Match	1.0	True	Located in	Located in	1.0	grapefruit	grapefruit	1.0	Veracruz	Veracruz
False Positive	0.0			Have been found on			pests			citrus plants
False Positive	0.0			Affects			Huanglongbing			citrus plants
False Positive	0.0			Located in			Senasica			Veracruz
False Positive	0.0			Located in			Postgraduate College			Veracruz
False Positive	0.0			Located in			Secretary of Agricultural, Rural, Fisheries and Food Development			Veracruz
False Positive	0.0			Located in			State Plant Health Committee			Veracruz
