PAIR TYPE	SIMILARITY	SAME TYPE	REF TYPE	PRED TYPE	SOURCE SIMILARITY	REF SOURCES	PRED SOURCE	TARGET SIMILARITY	REF TARGETS	PRED TARGET
Partial Match	0.5	True	Has been found on	Have been found on	0.5	X. fastidiosa, Xylella fastidiosa	Xylella fastidiosa subsp. pauca	1.0	Cellina di Nardò, olive cultivars, FS17, Leccino, Leccino cultivars, olive trees, “FS17” cultivars	Cellina di Nardò
Match	1.0	True	Located in	Located in	1.0	Olive quick decline syndrome	Olive quick decline syndrome	1.0	Italy	Italy
Match	1.0	True	Causes	Causes	1.0	Xylella fastidiosa subsp. pauca, Xfp	Xylella fastidiosa subsp. pauca	1.0	Olive quick decline syndrome	Olive quick decline syndrome
Partial Match	0.5	True	Affects	Affects	1.0	Olive quick decline syndrome	Olive quick decline syndrome	0.5	Cellina di Nardò, olive cultivars, FS17, Leccino, Leccino cultivars, olive trees, “FS17” cultivars	olive
Match	1.0	True	Has been found on	Have been found on	1.0	Xylella fastidiosa subsp. pauca, Xfp	Xylella fastidiosa subsp. pauca	1.0	Cellina di Nardò, olive cultivars, FS17, Leccino, Leccino cultivars, olive trees, “FS17” cultivars	FS17
Partial Match	0.5	True	Has been found on	Have been found on	0.5	X. fastidiosa, Xylella fastidiosa	Xylella fastidiosa subsp. pauca	1.0	olive	olive
False Negative	0.0		Located in			Xylella fastidiosa subsp. pauca, Xfp			Italy	
False Negative	0.0		Located in			Cellina di Nardò, olive cultivars, FS17, Leccino, Leccino cultivars, olive trees, “FS17” cultivars			Italy	
False Negative	0.0		Affects			OQDS			Cellina di Nardò, olive cultivars, FS17, Leccino, Leccino cultivars, olive trees, “FS17” cultivars	
False Positive	0.0			Have been found on			Xylella fastidiosa subsp. pauca			Leccino
