PAIR TYPE	SIMILARITY	SAME TYPE	REF TYPE	PRED TYPE	SOURCE SIMILARITY	REF SOURCES	PRED SOURCE	TARGET SIMILARITY	REF TARGETS	PRED TARGET
Match	1.0	True	Affects	Affects	1.0	Panama disease	Panama disease	1.0	Gros Michel, Cavendish, Cavendish banana, Cavendish banana plants, variety called Gros Michel, Cavendish bananas	Cavendish banana plants
Match	1.0	True	Causes	Causes	1.0	TR1 fungus, tropical race 1, TR1	tropical race 1	1.0	Panama disease	Panama disease
Match	1.0	True	Has been found on	Have been found on	1.0	TR1 fungus, tropical race 1, TR1	tropical race 1	1.0	Gros Michel, Cavendish, Cavendish banana, Cavendish banana plants, variety called Gros Michel, Cavendish bananas	Cavendish banana plants
Match	1.0	True	Has been found on	Have been found on	1.0	TR4	TR4	1.0	Gros Michel, Cavendish, Cavendish banana, Cavendish banana plants, variety called Gros Michel, Cavendish bananas	Cavendish banana plants
False Negative	0.0		Has been found on			TR1 fungus, tropical race 1, TR1			bananas, Bananas, Banana plants, banana	
False Negative	0.0		Affects			Panama disease			bananas, Bananas, Banana plants, banana	
False Negative	0.0		Located in			TR1 fungus, tropical race 1, TR1			Brazil	
False Negative	0.0		Has been found on			TR4			bananas, Bananas, Banana plants, banana	
False Positive	0.0			Causes			Fusarium fungus			Panama disease
False Positive	0.0			Have been found on			Cavendish banana plants			Gros Michel
False Positive	0.0			Causes			TR4			Panama disease
False Positive	0.0			Located in			Cavendish banana plants			the Netherlands
