PAIR TYPE	SIMILARITY	SAME TYPE	REF TYPE	PRED TYPE	SOURCE SIMILARITY	REF SOURCES	PRED SOURCE	TARGET SIMILARITY	REF TARGETS	PRED TARGET
Match	1.0	True	Has been found on	Have been found on	1.0	Xylella	Xylella	1.0	olive trees	olive trees
Match	1.0	True	Located in	Located in	1.0	Xylella	Xylella	1.0	Martina Franca	Martina Franca
Match	1.0	True	Located in	Located in	1.0	Xylella	Xylella	1.0	Fasano	Fasano
Match	1.0	True	Located in	Located in	1.0	Xylella	Xylella	1.0	Locorotondo	Locorotondo
Partial Match	0.3333333333333333	True	Located in	Located in	1.0	Xylella	Xylella	0.3333333333333333	province of Bari, BARI	Bari
Match	1.0	True	Located in	Located in	1.0	Xylella	Xylella	1.0	Polignano	Polignano
False Negative	0.0		Located in			olive trees			province of Bari, BARI	
False Negative	0.0		Located in			olive trees			Martina Franca	
False Negative	0.0		Located in			olive trees			Fasano	
False Negative	0.0		Located in			olive trees			Locorotondo	
False Negative	0.0		Located in			olive trees			Polignano	
False Negative	0.0		Located in			olive trees			Apulian	
False Negative	0.0		Located in			Xylella			Apulian	
False Negative	0.0		Has been found on			Xylella			olive	
False Negative	0.0		Located in			olive			Apulian	
False Positive	0.0			Located in			Xylella			Puglia
False Positive	0.0			Causes			Xylella			disease
