PAIR TYPE	SIMILARITY	SAME TYPE	REF TYPE	PRED TYPE	SOURCE SIMILARITY	REF SOURCES	PRED SOURCE	TARGET SIMILARITY	REF TARGETS	PRED TARGET
Match	1.0	True	Located in	Located in	1.0	golden-yellow yellowing	golden-yellow yellowing	1.0	Salurn	Salurn
Match	1.0	True	Located in	Located in	1.0	golden-yellow yellowing	golden-yellow yellowing	1.0	Unterland	Unterland
Match	1.0	True	Located in	Located in	1.0	golden-yellow yellowing	golden-yellow yellowing	1.0	Burggrafenamt, South Tyrol	Burggrafenamt
Match	1.0	True	Affects	Affects	1.0	golden-yellow yellowing	golden-yellow yellowing	1.0	Pinot Grigio, vineyards, vineyard, Chardonnay, wine, white wine varieties, red wine varieties, vines, vine	vines
Partial Match	0.75	True	Causes	Causes	0.75	FDp, Flavescence dorèe phytoplasma	Flavescence dorèe phytoplasma (FDp)	1.0	golden-yellow yellowing	golden-yellow yellowing
Partial Match	0.75	True	Transmits	Transmit	1.0	American leafhopper	American leafhopper	0.75	FDp, Flavescence dorèe phytoplasma	Flavescence dorèe phytoplasma (FDp)
False Negative	0.0		Located in			Pinot Grigio, vineyards, vineyard, Chardonnay, wine, white wine varieties, red wine varieties, vines, vine			Unterland	
False Negative	0.0		Located in			Pinot Grigio, vineyards, vineyard, Chardonnay, wine, white wine varieties, red wine varieties, vines, vine			Burggrafenamt, South Tyrol	
False Negative	0.0		Located in			Pinot Grigio, vineyards, vineyard, Chardonnay, wine, white wine varieties, red wine varieties, vines, vine			Salurn	
False Negative	0.0		Affects			Golden yellowing			Pinot Grigio, vineyards, vineyard, Chardonnay, wine, white wine varieties, red wine varieties, vines, vine	
False Negative	0.0		Has been found on			FDp, Flavescence dorèe phytoplasma			Pinot Grigio, vineyards, vineyard, Chardonnay, wine, white wine varieties, red wine varieties, vines, vine	
False Negative	0.0		Located in			American leafhopper			Europe	
False Negative	0.0		Has been found on			American leafhopper			Pinot Grigio, vineyards, vineyard, Chardonnay, wine, white wine varieties, red wine varieties, vines, vine	
False Positive	0.0			Causes			Flavescence dorée			golden-yellow yellowing
False Positive	0.0			Have been found on			golden-yellow yellowing			Chardonnay
False Positive	0.0			Have been found on			golden-yellow yellowing			Pinot Grigio
