PAIR TYPE	SIMILARITY	SAME TYPE	REF TYPE	PRED TYPE	SOURCE SIMILARITY	REF SOURCES	PRED SOURCE	TARGET SIMILARITY	REF TARGETS	PRED TARGET
Match	1.0	True	Located in	Located in	1.0	golden-yellow yellowing	golden-yellow yellowing	1.0	Burggrafenamt, South Tyrol	Burggrafenamt
Match	1.0	True	Affects	Affects	1.0	golden-yellow yellowing	golden-yellow yellowing	1.0	white wine varieties, vineyards, vine, vines, Chardonnay, vineyard, Pinot Grigio, wine, red wine varieties	vines
Match	1.0	True	Located in	Located in	1.0	white wine varieties, vineyards, vine, vines, Chardonnay, vineyard, Pinot Grigio, wine, red wine varieties	vines	1.0	Unterland	Unterland
Match	1.0	True	Located in	Located in	1.0	white wine varieties, vineyards, vine, vines, Chardonnay, vineyard, Pinot Grigio, wine, red wine varieties	vines	1.0	Salurn	Salurn
Match	1.0	True	Located in	Located in	1.0	American leafhopper	American leafhopper	1.0	Europe	Europe
False Negative	0.0		Located in			golden-yellow yellowing			Salurn	
False Negative	0.0		Located in			golden-yellow yellowing			Unterland	
False Negative	0.0		Located in			white wine varieties, vineyards, vine, vines, Chardonnay, vineyard, Pinot Grigio, wine, red wine varieties			Burggrafenamt, South Tyrol	
False Negative	0.0		Affects			Golden yellowing			white wine varieties, vineyards, vine, vines, Chardonnay, vineyard, Pinot Grigio, wine, red wine varieties	
False Negative	0.0		Causes			FDp, Flavescence dorèe phytoplasma			golden-yellow yellowing	
False Negative	0.0		Has been found on			FDp, Flavescence dorèe phytoplasma			white wine varieties, vineyards, vine, vines, Chardonnay, vineyard, Pinot Grigio, wine, red wine varieties	
False Negative	0.0		Transmits			American leafhopper			FDp, Flavescence dorèe phytoplasma	
False Negative	0.0		Has been found on			American leafhopper			white wine varieties, vineyards, vine, vines, Chardonnay, vineyard, Pinot Grigio, wine, red wine varieties	
False Positive	0.0			Located in			golden-yellow yellowing			South Tyrol
False Positive	0.0			Causes			Flavescence dorée			golden-yellow yellowing
False Positive	0.0			Transmit			American leafhopper			golden-yellow yellowing
False Positive	0.0			Have been found on			golden-yellow yellowing			vines
False Positive	0.0			Have been found on			Flavescence dorée			vines
False Positive	0.0			Have been found on			blackwood disease			vines
