PAIR TYPE	SIMILARITY	SAME TYPE	REF TYPE	PRED TYPE	SOURCE SIMILARITY	REF SOURCES	PRED SOURCE	TARGET SIMILARITY	REF TARGETS	PRED TARGET
Partial Match	0.45	False	Transmits	Causes	1.0	Citrus Leafhopper, HLB insect vector, Citrus Leafhoppers, citrus sharpshooter, Diaphorina citri, Diaphorina citri. Kuwayama, Diaphorina citri. kuwayama	Diaphorina citri	0.5	HLB	HLB Disease
Partial Match	0.5	True	Affects	Affects	0.5	HLB	HLB Disease	1.0	citrus fruits, citrus, citrus plants	citrus plants
Partial Match	0.54	False	Located in	Have been found on	1.0	Citrus Leafhopper, HLB insect vector, Citrus Leafhoppers, citrus sharpshooter, Diaphorina citri, Diaphorina citri. Kuwayama, Diaphorina citri. kuwayama	Diaphorina citri	0.6	NOA, provinces of SANTIAGO DEL ESTERO, the region of Northwest Argentina	SANTIAGO DEL ESTERO
Partial Match	0.45	False	Located in	Have been found on	1.0	Citrus Leafhopper, HLB insect vector, Citrus Leafhoppers, citrus sharpshooter, Diaphorina citri, Diaphorina citri. Kuwayama, Diaphorina citri. kuwayama	Diaphorina citri	0.5	provinces of ENTRE RÍOS	ENTRE RÍOS
Partial Match	0.3	False	Located in	Have been found on	1.0	Citrus Leafhopper, HLB insect vector, Citrus Leafhoppers, citrus sharpshooter, Diaphorina citri, Diaphorina citri. Kuwayama, Diaphorina citri. kuwayama	Diaphorina citri	0.3333333333333333	provinces of SALTA, Provinces of SALTA	SALTA
Partial Match	0.3	False	Located in	Have been found on	1.0	Citrus Leafhopper, HLB insect vector, Citrus Leafhoppers, citrus sharpshooter, Diaphorina citri, Diaphorina citri. Kuwayama, Diaphorina citri. kuwayama	Diaphorina citri	0.3333333333333333	provinces of FORMOSA	FORMOSA
Partial Match	0.3	False	Located in	Have been found on	1.0	Citrus Leafhopper, HLB insect vector, Citrus Leafhoppers, citrus sharpshooter, Diaphorina citri, Diaphorina citri. Kuwayama, Diaphorina citri. kuwayama	Diaphorina citri	0.3333333333333333	provinces of CHACO	CHACO
Partial Match	0.3	False	Located in	Have been found on	1.0	Citrus Leafhopper, HLB insect vector, Citrus Leafhoppers, citrus sharpshooter, Diaphorina citri, Diaphorina citri. Kuwayama, Diaphorina citri. kuwayama	Diaphorina citri	0.3333333333333333	NEA, provinces of MISIONES, Argentine Northeast region	MISIONES
Partial Match	0.45	False	Located in	Have been found on	1.0	Citrus Leafhopper, HLB insect vector, Citrus Leafhoppers, citrus sharpshooter, Diaphorina citri, Diaphorina citri. Kuwayama, Diaphorina citri. kuwayama	Diaphorina citri	0.5	provinces of SANTA FE	SANTA FE
Partial Match	0.3	False	Located in	Have been found on	1.0	Citrus Leafhopper, HLB insect vector, Citrus Leafhoppers, citrus sharpshooter, Diaphorina citri, Diaphorina citri. Kuwayama, Diaphorina citri. kuwayama	Diaphorina citri	0.3333333333333333	provinces of JUJUY, Provinces of JUJUY	JUJUY
Match	1.0	True	Has been found on	Have been found on	1.0	Citrus Leafhopper, HLB insect vector, Citrus Leafhoppers, citrus sharpshooter, Diaphorina citri, Diaphorina citri. Kuwayama, Diaphorina citri. kuwayama	Diaphorina citri	1.0	citrus fruits, citrus, citrus plants	citrus plants
Match	1.0	True	Located in	Located in	1.0	Citrus Leafhopper, HLB insect vector, Citrus Leafhoppers, citrus sharpshooter, Diaphorina citri, Diaphorina citri. Kuwayama, Diaphorina citri. kuwayama	Citrus Leafhopper	1.0	Province of CATAMARCA, Provinces of CATAMARCA	Province of CATAMARCA
False Negative	0.0		Located in			HLB			provinces of JUJUY, Provinces of JUJUY	
False Negative	0.0		Located in			HLB			NOA, provinces of SANTIAGO DEL ESTERO, the region of Northwest Argentina	
False Negative	0.0		Located in			HLB			Province of CATAMARCA, Provinces of CATAMARCA	
False Negative	0.0		Located in			HLB			Province of TUCUMÁN, Provinces of TUCUMÁN	
False Negative	0.0		Located in			HLB			provinces of SALTA, Provinces of SALTA	
False Negative	0.0		Located in			HLB			NEA, provinces of MISIONES, Argentine Northeast region	
False Negative	0.0		Located in			citrus fruits, citrus, citrus plants			NOA, provinces of SANTIAGO DEL ESTERO, the region of Northwest Argentina	
False Negative	0.0		Located in			Citrus Leafhopper, HLB insect vector, Citrus Leafhoppers, citrus sharpshooter, Diaphorina citri, Diaphorina citri. Kuwayama, Diaphorina citri. kuwayama			provinces of CORRIENTES	
False Negative	0.0		Located in			citrus fruits, citrus, citrus plants			provinces of ENTRE RÍOS	
False Negative	0.0		Located in			citrus fruits, citrus, citrus plants			provinces of SALTA, Provinces of SALTA	
False Negative	0.0		Located in			citrus fruits, citrus, citrus plants			provinces of FORMOSA	
False Negative	0.0		Located in			citrus fruits, citrus, citrus plants			provinces of CHACO	
False Negative	0.0		Located in			citrus fruits, citrus, citrus plants			NEA, provinces of MISIONES, Argentine Northeast region	
False Negative	0.0		Located in			citrus fruits, citrus, citrus plants			provinces of SANTA FE	
False Negative	0.0		Located in			citrus fruits, citrus, citrus plants			provinces of JUJUY, Provinces of JUJUY	
False Negative	0.0		Located in			citrus fruits, citrus, citrus plants			provinces of CORRIENTES	
False Negative	0.0		Located in			Citrus Leafhopper, HLB insect vector, Citrus Leafhoppers, citrus sharpshooter, Diaphorina citri, Diaphorina citri. Kuwayama, Diaphorina citri. kuwayama			Province of TUCUMÁN, Provinces of TUCUMÁN	
False Negative	0.0		Located in			Citrus Leafhopper, HLB insect vector, Citrus Leafhoppers, citrus sharpshooter, Diaphorina citri, Diaphorina citri. Kuwayama, Diaphorina citri. kuwayama			Villa de Medinas	
False Negative	0.0		Located in			Citrus Leafhopper, HLB insect vector, Citrus Leafhoppers, citrus sharpshooter, Diaphorina citri, Diaphorina citri. Kuwayama, Diaphorina citri. kuwayama			Chicligasta Department	
False Negative	0.0		Located in			Citrus Leafhopper, HLB insect vector, Citrus Leafhoppers, citrus sharpshooter, Diaphorina citri, Diaphorina citri. Kuwayama, Diaphorina citri. kuwayama			Capayán Department	
False Negative	0.0		Located in			Huanglongbing			Province of CATAMARCA, Provinces of CATAMARCA	
False Negative	0.0		Affects			Huanglongbing			citrus fruits, citrus, citrus plants	
False Negative	0.0		Located in			citrus fruits, citrus, citrus plants			Province of CATAMARCA, Provinces of CATAMARCA	
False Negative	0.0		Located in			Candidatus Liberibacter spp.			Province of CATAMARCA, Provinces of CATAMARCA	
False Negative	0.0		Causes			Candidatus Liberibacter spp.			HLB	
False Positive	0.0			Located in			ARGENTINE REPUBLIC			City of Buenos Aires
False Positive	0.0			Transmit			citrus sharpshooter			Diaphorina citri
False Positive	0.0			Located in			Northwest Argentina			Provinces of JUJUY, SALTA, TUCUMÁN and CATAMARCA
False Positive	0.0			Have been found on			Diaphorina citri			CERRITOS
False Positive	0.0			Transmit			Citrus Leafhopper			Huanglongbing
