PAIR TYPE	SIMILARITY	SAME TYPE	REF TYPE	PRED TYPE	SOURCE SIMILARITY	REF SOURCES	PRED SOURCE	TARGET SIMILARITY	REF TARGETS	PRED TARGET
Match	1.0	True	Has been found on	Have been found on	1.0	Xylella	Xylella	1.0	olive trees	olive trees
Match	1.0	True	Located in	Located in	1.0	olive trees	olive trees	1.0	province of Bari, BARI	province of Bari
Match	1.0	True	Located in	Located in	1.0	olive trees	olive trees	1.0	Martina Franca	Martina Franca
Match	1.0	True	Located in	Located in	1.0	olive trees	olive trees	1.0	Fasano	Fasano
Match	1.0	True	Located in	Located in	1.0	olive trees	olive trees	1.0	Locorotondo	Locorotondo
Match	1.0	True	Located in	Located in	1.0	olive trees	olive trees	1.0	Polignano	Polignano
False Negative	0.0		Located in			Xylella			Martina Franca	
False Negative	0.0		Located in			Xylella			Fasano	
False Negative	0.0		Located in			Xylella			Locorotondo	
False Negative	0.0		Located in			Xylella			province of Bari, BARI	
False Negative	0.0		Located in			Xylella			Polignano	
False Negative	0.0		Located in			olive trees			Apulian	
False Negative	0.0		Located in			Xylella			Apulian	
False Negative	0.0		Has been found on			Xylella			olive	
False Negative	0.0		Located in			olive			Apulian	
False Positive	0.0			Located in			olive trees			Puglia
False Positive	0.0			Located in			olive trees			buffer zone
False Positive	0.0			Located in			olive trees			free zone
False Positive	0.0			Causes			Xylella			disease
False Positive	0.0			Affects			disease			olive trees
