PAIR TYPE	SIMILARITY	SAME TYPE	REF TYPE	PRED TYPE	SOURCE SIMILARITY	REF SOURCES	PRED SOURCE	TARGET SIMILARITY	REF TARGETS	PRED TARGET
Partial Match	0.4	True	Located in	Located in	0.4	Spodoptera frugiperda, S. frugiperda, Spodoptera frugiperda (J. E. Smith)	Spodoptera frugiperda	1.0	western China, China, Western China	Western China
Partial Match	0.4	True	Located in	Located in	0.4	Spodoptera frugiperda, S. frugiperda, Spodoptera frugiperda (J. E. Smith)	Spodoptera frugiperda	1.0	Ningxia	Ningxia
Partial Match	0.4	True	Located in	Located in	0.4	Spodoptera frugiperda, S. frugiperda, Spodoptera frugiperda (J. E. Smith)	Spodoptera frugiperda	1.0	Shaanxi	Shaanxi
Partial Match	0.2	True	Located in	Located in	0.4	Spodoptera frugiperda, S. frugiperda, Spodoptera frugiperda (J. E. Smith)	Spodoptera frugiperda	0.5	western Gansu	Gansu
Partial Match	0.2	True	Located in	Located in	0.4	Spodoptera frugiperda, S. frugiperda, Spodoptera frugiperda (J. E. Smith)	Spodoptera frugiperda	0.5	eastern Qinghai	Qinghai
Partial Match	0.4	True	Located in	Located in	0.4	Spodoptera frugiperda, S. frugiperda, Spodoptera frugiperda (J. E. Smith)	Spodoptera frugiperda	1.0	Tibetan	Tibetan
Partial Match	0.4	True	Located in	Located in	0.4	Spodoptera frugiperda, S. frugiperda, Spodoptera frugiperda (J. E. Smith)	Spodoptera frugiperda	1.0	Xinjiang	Xinjiang
Partial Match	0.4	True	Has been found on	Have been found on	0.4	Spodoptera frugiperda, S. frugiperda, Spodoptera frugiperda (J. E. Smith)	Spodoptera frugiperda	1.0	corn	corn
Partial Match	0.4	True	Has been found on	Have been found on	0.4	Spodoptera frugiperda, S. frugiperda, Spodoptera frugiperda (J. E. Smith)	Spodoptera frugiperda	1.0	wheat	wheat
False Negative	0.0		Located in			Spodoptera frugiperda, S. frugiperda, Spodoptera frugiperda (J. E. Smith)			Aksu	
False Negative	0.0		Located in			Spodoptera frugiperda, S. frugiperda, Spodoptera frugiperda (J. E. Smith)			Ili	
False Negative	0.0		Located in			Spodoptera frugiperda, S. frugiperda, Spodoptera frugiperda (J. E. Smith)			Hotan	
False Negative	0.0		Located in			Spodoptera frugiperda, S. frugiperda, Spodoptera frugiperda (J. E. Smith)			Hami	
False Negative	0.0		Located in			Spodoptera frugiperda, S. frugiperda, Spodoptera frugiperda (J. E. Smith)			Urumqi	
False Negative	0.0		Located in			wheat			western China, China, Western China	
False Negative	0.0		Located in			corn			western China, China, Western China	
