	gpt-4o-mini	kimi	deepseek
107272	-0.08181203515889121	0.5833333333333328	0.4043887147335421	
117674	-0.06166007905138359	-0.08087679516250955	-0.16161170869335056	
115183	0.2307692307692309	0.3012422360248447	1.0	
106336	1.0	0.41176470588235314	-0.02729885057471266	
106151	0.1071428571428569	0.43778110944527704	0.29347826086956497	
106963	0.2013888888888887	0.018031189083820762	0.4819611470860314	
98195	0.1071428571428569	0.3965517241379301	0.2799999999999995	
105862	0.09980430528375725	0.027084818246614413	-0.11649315596684004	
99132	0.4000000000000001	1.0	1.0	
116070	0.2307692307692305	-0.0388888888888886	0.4680851063829793	
105652	-2.312964634635743e-16	1.0	1.0	
103963	0.551282051282051	0.28728070175438597	0.41176470588235314	
104329	-0.07142857142857194	1.0	1.0	
107172	0.3583333333333335	0.1777777777777778	0.17363221884498484	
99984	1.0	1.0	1.0	
100011	0.16666666666666627	0.23796791443850238	0.2682926829268291	
103660	1.0	1.0	1.0	
98783	0.7336065573770493	1.0	0.29363636363636353	
116983	0.27454659161976236	-0.04066985645933005	0.5333333333333338	
103669	0.008333333333333658	-0.09374999999999988	0.19191919191919168	
117892	-0.25	0.0	0.0	
116119	0.2187499999999996	0.3483709273182959	0.29435483870967716	
115106	1.0	1.0	0.3861311102690414	
98142	1.0	0.3566176470588234	0.03620601733809269	
99613	-0.022326674500587514	0.4021739130434783	0.17582417582417575	
106959	0.0	1.0	1.0	
99614	0.0	1.0	0.1250000000000001	
102904	0.06481939633844647	0.19999999999999973	0.10714285714285704	
104499	1.0	1.0	0.6759259259259262	
98794	0.1929698708751797	-0.029810298102980883	0.24999999999999986	
116507	1.0	0.13793103448275845	-0.07142857142857194	
114259	0.2175856929955292	0.11999999999999988	0.25082101806239776	
104656	0.23941798941798947	0.12499999999999989	0.615384615384615	
98392	-0.2500000000000007	1.0	1.0	
103847	1.0	1.0	1.0	
98191	0.0	0.0	0.0	
116761	1.0	0.4791666666666667	0.4999999999999998	
99107	1.0	0.20527670527670558	0.7303921568627452	
104119	0.0	0.0	0.0	
116671	0.16666666666666682	0.12067099567099558	0.17868589743589733	
116223	0.21573359073359077	0.19989224137931022	1.0	
114379	1.0	0.7201492537313432	1.0	
102488	1.0	0.13461538461538475	0.27125506072874483	
115211	0.22619047619047636	0.4666666666666668	0.14529914529914525	
116664	0.5600000000000002	0.18754605747973438	0.3489583333333332	
105611	-0.0465116279069782	0.05965621840242674	0.20521446593776302	
115243	0.6408045977011507	0.36952974336151917	0.41893539211702596	
98579	1.0	1.0	1.0	
102584	1.0	1.0	0.5499999999999994	
117299	0.423076923076923	0.2892156862745098	0.2861142217245241	
98917	0.46571428571428575	0.23497267759562773	0.6078431372549018	
116125	0.22794117647058898	1.0	0.5471014492753624	
99067	-0.008297258297257946	-0.04862700228832876	0.5799999999999997	
107207	0.30000000000000004	0.5333333333333338	0.5698924731182794	
117298	0.26820728291316503	0.13138440860215056	1.0	
