PAIR TYPE	SIMILARITY	SAME TYPE	REF TYPE	PRED TYPE	SOURCE SIMILARITY	REF SOURCES	PRED SOURCE	TARGET SIMILARITY	REF TARGETS	PRED TARGET
Partial Match	0.6666666666666666	True	Located in	Located in	0.6666666666666666	banana disease	New banana disease	1.0	African, Africa, African countries	Africa
Partial Match	0.2222222222222222	True	Affects	Affects	0.6666666666666666	banana disease	New banana disease	0.3333333333333333	banana varieties, banana plants, banana, African banana varieties, banana strains, bananas	Cavendish banana
Match	1.0	True	Located in	Located in	1.0	Fusarium odoratissimum Tropical Race 4, TR4 fungus, TR4, Tropical Race 4	Fusarium odoratissimum Tropical Race 4	1.0	Mozambique	Mozambique
Match	1.0	True	Located in	Located in	1.0	Fusarium odoratissimum Tropical Race 4, TR4 fungus, TR4, Tropical Race 4	Fusarium odoratissimum Tropical Race 4	1.0	African, Africa, African countries	Africa
Match	1.0	True	Causes	Causes	1.0	Fusarium odoratissimum Tropical Race 4, TR4 fungus, TR4, Tropical Race 4	Fusarium odoratissimum Tropical Race 4	1.0	Fusarium wilt	Fusarium wilt
Partial Match	0.5	True	Has been found on	Have been found on	1.0	Fusarium odoratissimum Tropical Race 4, TR4 fungus, TR4, Tropical Race 4	Fusarium odoratissimum Tropical Race 4	0.5	banana varieties, banana plants, banana, African banana varieties, banana strains, bananas	banana
Partial Match	0.45	False	Causes	Transmits	1.0	Fusarium odoratissimum Tropical Race 4, TR4 fungus, TR4, Tropical Race 4	Fusarium odoratissimum Tropical Race 4	0.5	Fusarium wilt of banana	Fusarium wilt
False Negative	0.0		Located in			Fusarium odoratissimum Tropical Race 4, TR4 fungus, TR4, Tropical Race 4			Asia	
False Negative	0.0		Located in			Fusarium odoratissimum Tropical Race 4, TR4 fungus, TR4, Tropical Race 4			South America	
False Negative	0.0		Located in			Fusarium wilt			Mozambique	
False Negative	0.0		Located in			Fusarium wilt			African, Africa, African countries	
False Negative	0.0		Located in			Fusarium wilt			Asia	
False Negative	0.0		Located in			Fusarium wilt			South America	
False Negative	0.0		Located in			banana varieties, banana plants, banana, African banana varieties, banana strains, bananas			Mozambique	
False Negative	0.0		Located in			Cavendish banana			Tanzania	
False Negative	0.0		Located in			Cavendish banana			Ruanda	
False Negative	0.0		Located in			Cavendish banana			Malawi	
False Negative	0.0		Located in			Cavendish banana			Uganda	
False Negative	0.0		Located in			banana varieties, banana plants, banana, African banana varieties, banana strains, bananas			Tanzania	
False Negative	0.0		Located in			banana varieties, banana plants, banana, African banana varieties, banana strains, bananas			Uganda	
False Negative	0.0		Located in			banana varieties, banana plants, banana, African banana varieties, banana strains, bananas			Ruanda	
False Negative	0.0		Located in			banana varieties, banana plants, banana, African banana varieties, banana strains, bananas			Latin America	
False Negative	0.0		Located in			Panama disease			Latin America	
False Negative	0.0		Affects			Panama disease			banana varieties, banana plants, banana, African banana varieties, banana strains, bananas	
False Negative	0.0		Has been found on			Fusarium odoratissimum Tropical Race 4, TR4 fungus, TR4, Tropical Race 4			Cavendish banana	
False Negative	0.0		Located in			Fusarium wilt of banana			Mozambique	
False Positive	0.0			Causes			Fusarium wilt			New banana disease
False Positive	0.0			Affects			Fusarium wilt			banana
False Positive	0.0			Affects			Fusarium wilt			Cavendish banana
False Positive	0.0			Affects			Fusarium wilt			banana
