Document	repeat-5	repeat-10	repeat-15	repeat-20
100011	1	1	1	1
102904	0.32012286484866614	0.4414414414414418	0.48618738404452727	0.5273362736123822
104329	0.21052631578947487	0.730221469351904	0.7807017543859653	0.8050945718126915
104499	1	1	1	1
105652	0.7222222222222219	0.753086419753086	0.7619047619047621	0.8233345601766654
107172	0.18333333333333368	0.450912066735303	0.5172162795113617	0.5942222293473552
115183	0.2696740858505563	0.43942513285579005	0.44660260342125	0.4974398773412584
117674	0.12002181255277324	0.42088899750189923	0.5683723878087055	0.6532695668168845
99067	0.27953172675758114	0.4329940958559522	0.5040891806011366	0.5322981214904579
99107	0.37219227313567027	0.30857142857142744	0.4037853769397395	0.40658229416639313
