PAIR TYPE	SIMILARITY	SAME TYPE	REF TYPE	PRED TYPE	SOURCE SIMILARITY	REF SOURCES	PRED SOURCE	TARGET SIMILARITY	REF TARGETS	PRED TARGET
Match	1.0	True	Affects	Affects	1.0	Panama disease	Panama disease	1.0	Cavendish, variety called Gros Michel, Cavendish banana, Cavendish bananas, Gros Michel, Cavendish banana plants	Cavendish banana plants
Partial Match	0.75	True	Causes	Causes	0.75	tropical race 1, TR1 fungus, TR1	tropical race 1 (TR1)	1.0	Panama disease	Panama disease
Partial Match	0.9	False	Has been found on	Affects	1.0	TR4	TR4	1.0	Cavendish, variety called Gros Michel, Cavendish banana, Cavendish bananas, Gros Michel, Cavendish banana plants	Cavendish banana plants
Partial Match	0.75	True	Located in	Located in	0.75	tropical race 1, TR1 fungus, TR1	tropical race 1 (TR1)	1.0	Brazil	Brazil
False Negative	0.0		Has been found on			tropical race 1, TR1 fungus, TR1			Bananas, Banana plants, banana, bananas	
False Negative	0.0		Affects			Panama disease			Bananas, Banana plants, banana, bananas	
False Negative	0.0		Has been found on			tropical race 1, TR1 fungus, TR1			Cavendish, variety called Gros Michel, Cavendish banana, Cavendish bananas, Gros Michel, Cavendish banana plants	
False Negative	0.0		Has been found on			TR4			Bananas, Banana plants, banana, bananas	
False Positive	0.0			Have been found on			Fusarium fungus			Cavendish banana plants
False Positive	0.0			Located in			Cavendish banana plants			Western countries
False Positive	0.0			Located in			Gros Michel			Western countries
False Positive	0.0			Located in			Gert Kema			Netherlands
